Pair_UID,X_unitNum,Y_unitNum,X_area,Y_area,XY_Dist,condition,alignedName,rhoRaw_50ms,pvalRaw_50ms,rhoRaw_150ms,pvalRaw_150ms,rhoRaw_200ms,pvalRaw_200ms,X_Y_visGrade,X_Y_visType,X_Y_moveGrade,X_Y_errGrade,X_Y_rewGrade,X_Y_poorIso,Y_visGrade,Y_visType,Y_moveGrade,Y_errGrade,Y_rewGrade,Y_poorIso,monkey,sessNum,sess,outcome,satCondition,epoch,sameAreaPair,sameChannelPair,pairCount,signifPlusRho,signifMinusRho,nonSignifRho
PAIR_0009,2,11,FEF,SC,NaN,FastErrorTiming,PostReward,-0.08833226,0.5334765,-0.04316713,0.7612366,0.002002374,0.9887595,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorTiming,Fast,PostReward,0,0,1,0,0,1
PAIR_0010,3,4,FEF,FEF,2.8558054905753,AccurateCorrect,Baseline,0.005492918,0.9183253,0.1202405,0.02426874,0.1228186,0.02136239,4,none,0,0,0,0,0,none,0,0,0,0,D,2,D20130820002,Correct,Accurate,Baseline,1,0,1,0,0,1
PAIR_0010,3,4,FEF,FEF,2.8558054905753,AccurateCorrect,Visual,-0.08423618,0.1151789,-0.008231842,0.8778652,-0.06320423,0.2375677,4,none,0,0,0,0,0,none,0,0,0,0,D,2,D20130820002,Correct,Accurate,Visual,1,0,1,0,0,1
PAIR_0010,3,4,FEF,FEF,2.8558054905753,AccurateCorrect,PostSaccade,0.1035869,0.05250188,0.1143353,0.03223722,0.09295433,0.0820253,4,none,0,0,0,0,0,none,0,0,0,0,D,2,D20130820002,Correct,Accurate,PostSaccade,1,0,1,0,0,1
PAIR_0010,3,4,FEF,FEF,2.8558054905753,AccurateCorrect,PostReward,0.09510931,0.07514928,0.1079979,0.04317215,0.09197202,0.08532395,4,none,0,0,0,0,0,none,0,0,0,0,D,2,D20130820002,Correct,Accurate,PostReward,1,0,1,0,0,1
PAIR_0010,3,4,FEF,FEF,2.8558054905753,AccurateErrorChoice,Baseline,0.06031733,0.6072113,0.2376631,0.0400559,0.1505485,0.1973105,4,none,0,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,Baseline,1,0,1,0,0,1
PAIR_0010,3,4,FEF,FEF,2.8558054905753,AccurateErrorChoice,Visual,-0.05594826,0.6335317,0.1146091,0.3275284,0.05295296,0.6518451,4,none,0,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,Visual,1,0,1,0,0,1
PAIR_0010,3,4,FEF,FEF,2.8558054905753,AccurateErrorChoice,PostSaccade,0.1830581,0.1159464,0.1400463,0.2307683,0.2114736,0.06855934,4,none,0,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,PostSaccade,1,0,1,0,0,1
PAIR_0010,3,4,FEF,FEF,2.8558054905753,AccurateErrorChoice,PostReward,-0.2366923,0.04090047,-0.08052771,0.4922127,0.006263271,0.9574682,4,none,0,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,PostReward,1,0,1,0,0,1
PAIR_0010,3,4,FEF,FEF,2.8558054905753,AccurateErrorTiming,Baseline,0.05960811,0.4065874,0.01625289,0.8211236,-0.09345905,0.1926051,4,none,0,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,Baseline,1,0,1,0,0,1
PAIR_0010,3,4,FEF,FEF,2.8558054905753,AccurateErrorTiming,Visual,-0.1208551,0.09153811,-0.07150983,0.3192454,-0.1271295,0.07579211,4,none,0,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,Visual,1,0,1,0,0,1
PAIR_0010,3,4,FEF,FEF,2.8558054905753,AccurateErrorTiming,PostSaccade,0.04542713,0.5272311,0.1538245,0.03135044,0.14043,0.04962477,4,none,0,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,PostSaccade,1,0,1,0,0,1
PAIR_0010,3,4,FEF,FEF,2.8558054905753,AccurateErrorTiming,PostReward,-0.04521348,0.5291777,0.2262325,0.001430438,0.2180678,0.002137295,4,none,0,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,PostReward,1,0,1,1,0,0
PAIR_0010,3,4,FEF,FEF,2.8558054905753,FastCorrect,Baseline,-0.07304268,0.1709025,-0.006648337,0.9009438,-0.03465052,0.5163966,4,none,0,0,0,0,0,none,0,0,0,0,D,2,D20130820002,Correct,Fast,Baseline,1,0,1,0,0,1
PAIR_0010,3,4,FEF,FEF,2.8558054905753,FastCorrect,Visual,-0.02197761,0.6807009,0.04420007,0.4077254,0.001729916,0.9741635,4,none,0,0,0,0,0,none,0,0,0,0,D,2,D20130820002,Correct,Fast,Visual,1,0,1,0,0,1
